Are you exhausted in the morning at the thought of another day at work?,How often do you feel worn out?,Do you feel that every working hour is tiring for you?,How often do you think: 'I can’t take it anymore'?,How often are you emotionally exhausted?,Does your work frustrate you?,How often do you feel tired?,Do you feel worn out at the end of the working day?,Do you have enough energy for family and friends during your leisure time?,How often are you physically exhausted?,How often do you feel weak and susceptible to illness?,Is your work emotionally exhausting?,Do you feel burnt out because of your work?,Total Score,Percentage Likely to Burnout
4,5,3,5,5,2,3,3,3,5,4,3,5,179,79.55555555555556
2,4,2,4,5,1,4,2,5,4,1,1,3,132,58.666666666666664
3,2,4,4,3,4,4,1,3,5,3,5,1,145,64.44444444444444
2,4,1,4,2,2,1,2,5,2,4,4,4,128,56.888888888888886
4,5,3,1,4,2,4,2,2,4,5,2,2,134,59.55555555555555
4,2,2,4,4,1,5,5,2,5,2,1,4,150,66.66666666666666
4,4,5,1,5,5,1,1,1,1,4,3,3,129,57.333333333333336
1,3,3,1,3,5,2,2,1,4,1,4,2,112,49.77777777777778
1,5,3,4,3,3,1,3,5,3,1,5,2,134,59.55555555555555
3,1,2,2,4,5,3,1,4,5,4,5,5,158,70.22222222222221
3,5,4,5,3,3,4,2,2,5,1,5,4,164,72.88888888888889
4,4,4,4,3,2,4,1,1,1,1,3,1,112,49.77777777777778
4,5,1,3,3,1,5,1,3,2,4,3,1,119,52.888888888888886
4,1,1,2,4,4,2,3,1,5,1,1,3,116,51.55555555555556
1,2,2,4,5,1,1,3,2,5,4,2,4,137,60.88888888888889
3,3,1,5,4,2,3,1,1,4,3,5,3,142,63.11111111111111
4,4,3,4,3,2,3,3,4,4,1,1,2,127,56.44444444444444
1,3,4,1,1,2,2,3,4,2,1,4,4,111,49.333333333333336
1,2,1,4,5,5,3,1,1,3,3,3,4,132,58.666666666666664
1,4,3,1,4,4,3,1,3,1,5,2,2,110,48.888888888888886
2,3,5,1,4,1,4,1,5,4,3,1,1,114,50.66666666666667
4,3,3,5,3,3,3,2,5,1,4,1,5,141,62.66666666666667
4,5,3,4,3,1,1,4,4,5,5,3,4,161,71.55555555555554
1,5,5,1,5,3,4,1,4,5,5,1,3,142,63.11111111111111
2,1,2,2,3,2,2,3,2,2,2,1,1,87,38.666666666666664
1,3,5,2,2,3,2,1,5,4,2,1,4,115,51.11111111111111
5,4,1,4,3,4,2,2,3,1,2,5,2,130,57.77777777777777
2,1,4,2,3,4,5,1,5,4,4,4,5,153,68.0
4,5,4,3,4,5,2,4,2,3,1,3,4,152,67.55555555555556
2,2,5,2,5,1,4,5,1,2,2,1,2,123,54.666666666666664
1,5,5,1,5,5,5,3,4,2,3,5,1,149,66.22222222222223
5,4,5,1,4,5,4,2,2,5,4,1,5,158,70.22222222222221
2,2,5,4,2,4,2,2,3,2,1,5,5,140,62.22222222222222
4,2,1,4,3,4,4,2,3,4,1,1,5,133,59.111111111111114
3,3,5,4,3,1,1,2,3,4,5,5,4,156,69.33333333333334
2,5,3,2,3,1,2,5,2,2,2,2,3,119,52.888888888888886
1,4,2,5,2,5,3,5,4,1,5,5,1,143,63.55555555555556
4,2,5,1,3,1,3,4,2,1,5,4,1,125,55.55555555555556
5,1,3,1,1,1,4,1,5,3,3,1,4,109,48.44444444444444
4,5,1,3,4,1,4,4,3,2,5,5,3,156,69.33333333333334
4,1,4,3,5,4,5,1,5,5,2,2,2,146,64.88888888888889
5,3,5,3,3,2,4,1,2,2,4,1,5,137,60.88888888888889
5,2,1,2,3,2,2,5,5,5,3,5,1,144,64.0
4,1,1,5,4,4,4,3,5,4,3,2,2,144,64.0
3,3,5,5,2,4,2,4,4,5,1,1,3,141,62.66666666666667
5,4,1,4,1,1,1,5,2,4,5,5,5,157,69.77777777777779
5,5,3,4,5,4,3,3,4,1,2,1,1,132,58.666666666666664
1,5,3,1,3,4,2,4,4,5,2,4,4,145,64.44444444444444
2,2,4,2,4,4,5,1,4,3,1,1,1,110,48.888888888888886
5,4,5,4,5,5,3,5,2,3,5,1,2,164,72.88888888888889
2,2,3,5,5,1,1,2,1,3,5,2,1,121,53.77777777777778
3,3,1,5,1,2,1,3,1,5,4,1,5,126,56.00000000000001
5,3,5,5,5,5,2,2,3,1,5,1,1,140,62.22222222222222
3,5,5,4,1,1,2,4,2,2,2,3,3,127,56.44444444444444
2,4,1,4,5,3,1,1,5,5,2,3,3,137,60.88888888888889
4,2,2,2,2,3,3,2,4,1,1,4,2,108,48.0
3,1,5,5,4,2,1,2,1,4,4,5,2,146,64.88888888888889
5,2,5,3,3,3,3,1,3,4,4,1,3,134,59.55555555555555
3,3,5,2,5,2,3,3,5,5,2,4,2,154,68.44444444444444
5,5,1,5,1,4,2,2,1,2,5,3,1,120,53.333333333333336
2,1,1,3,5,1,2,4,1,1,3,5,4,132,58.666666666666664
2,4,2,5,2,3,3,3,3,4,5,2,2,134,59.55555555555555
3,3,1,5,4,2,1,1,2,4,1,1,5,122,54.22222222222223
4,1,4,2,3,1,5,2,4,2,1,4,3,128,56.888888888888886
2,1,5,4,2,2,3,3,5,5,1,1,5,137,60.88888888888889
5,4,3,1,3,3,5,4,2,4,4,3,4,155,68.88888888888889
1,3,1,2,3,2,3,5,4,5,2,4,3,137,60.88888888888889
4,1,4,1,4,1,2,5,3,4,5,3,3,145,64.44444444444444
